market,date,rainfall_mm
mukono,2020-04-14,9.0
mukono,2020-04-15,10.0
mukono,2020-04-16,11.0
mukono,2020-04-17,12.0
mukono,2020-04-18,1.0
mukono,2020-04-19,2.0
mukono,2020-04-20,3.0
mukono,2020-04-21,4.0
mukono,2020-04-22,5.0
mukono,2020-04-23,6.0
mukono,2020-04-24,7.0
mukono,2020-04-25,8.0
mukono,2020-04-26,9.0
mukono,2020-04-27,10.0
mukono,2020-04-28,11.0
mukono,2020-04-29,12.0
mukono,2020-04-30,1.0
mukono,2020-05-01,2.0
mukono,2020-05-02,3.0
mukono,2020-05-03,4.0
mukono,2020-05-04,5.0
mukono,2020-05-05,6.0
mukono,2020-05-06,7.0
mukono,2020-05-07,8.0
mukono,2020-05-08,9.0
mukono,2020-05-09,10.0
mukono,2020-05-10,11.0
mukono,2020-05-11,12.0
mukono,2020-05-12,1.0
mukono,2020-05-13,2.0
mukono,2020-05-14,3.0
mukono,2020-05-15,4.0
mukono,2020-05-16,5.0
mukono,2020-05-17,6.0
mukono,2020-05-18,7.0
mukono,2020-05-19,8.0
mukono,2020-05-20,9.0
mukono,2020-05-21,10.0
mukono,2020-05-22,11.0
mukono,2020-05-23,12.0
mukono,2020-05-24,1.0
mukono,2020-05-25,2.0
mukono,2020-05-26,3.0
mukono,2020-05-27,4.0
mukono,2020-05-28,5.0
mukono,2020-05-29,6.0
mukono,2020-05-30,7.0
mukono,2020-05-31,8.0
mukono,2020-06-01,9.0
mukono,2020-06-02,10.0
mukono,2020-06-03,11.0
mukono,2020-06-04,12.0
mukono,2020-06-05,1.0
mukono,2020-06-06,2.0
mukono,2020-06-07,3.0
mukono,2020-06-08,4.0
mukono,2020-06-09,5.0
mukono,2020-06-10,6.0
mukono,2020-06-11,7.0
mukono,2020-06-12,8.0
mukono,2020-06-13,9.0
mukono,2020-06-14,10.0
mukono,2020-06-15,11.0
mukono,2020-06-16,12.0
mukono,2020-06-17,1.0
mukono,2020-06-18,2.0
mukono,2020-06-19,3.0
mukono,2020-06-20,4.0
mukono,2020-06-21,5.0
mukono,2020-06-22,6.0
mukono,2020-06-23,7.0
mukono,2020-06-24,8.0
mukono,2020-06-25,9.0
mukono,2020-06-26,10.0
mukono,2020-06-27,11.0
mukono,2020-06-28,12.0
mukono,2020-06-29,1.0
mukono,2020-06-30,2.0
mukono,2020-07-01,3.0
mukono,2020-07-02,4.0
mukono,2020-07-03,5.0
mukono,2020-07-04,6.0
mukono,2020-07-05,7.0
mukono,2020-07-06,8.0
mukono,2020-07-07,9.0
mukono,2020-07-08,10.0
mukono,2020-07-09,11.0
mukono,2020-07-10,12.0
mukono,2020-07-11,1.0
mukono,2020-07-12,2.0
mukono,2020-07-13,3.0
mukono,2020-07-14,4.0
mukono,2020-07-15,5.0
mukono,2020-07-16,6.0
mukono,2020-07-17,7.0
mukono,2020-07-18,8.0
mukono,2020-07-19,9.0
mukono,2020-07-20,10.0
mukono,2020-07-21,11.0
mukono,2020-07-22,12.0
mukono,2020-07-23,1.0
mukono,2020-07-24,2.0
mukono,2020-07-25,3.0
mukono,2020-07-26,4.0
mukono,2020-07-27,5.0
mukono,2020-07-28,6.0
mukono,2020-07-29,7.0
mukono,2020-07-30,8.0
mukono,2020-07-31,9.0
mukono,2020-08-01,10.0
mukono,2020-08-02,11.0
mukono,2020-08-03,12.0
mukono,2020-08-04,1.0
mukono,2020-08-05,2.0
mukono,2020-08-06,3.0
mukono,2020-08-07,4.0
mukono,2020-08-08,5.0
mukono,2020-08-09,6.0
mukono,2020-08-10,7.0
mukono,2020-08-11,8.0
mukono,2020-08-12,9.0
mukono,2020-08-13,10.0
mukono,2020-08-14,11.0
mukono,2020-08-15,12.0
mukono,2020-08-16,1.0
mukono,2020-08-17,2.0
mukono,2020-08-18,3.0
mukono,2020-08-19,4.0
mukono,2020-08-20,5.0
mukono,2020-08-21,6.0
mukono,2020-08-22,7.0
mukono,2020-08-23,8.0
mukono,2020-08-24,9.0
mukono,2020-08-25,10.0
mukono,2020-08-26,11.0
mukono,2020-08-27,12.0
mukono,2020-08-28,1.0
mukono,2020-08-29,2.0
mukono,2020-08-30,3.0
mukono,2020-08-31,4.0
mukono,2020-09-01,5.0
mukono,2020-09-02,6.0
mukono,2020-09-03,7.0
mukono,2020-09-04,8.0
mukono,2020-09-05,9.0
mukono,2020-09-06,10.0
mukono,2020-09-07,11.0
mukono,2020-09-08,12.0
mukono,2020-09-09,1.0
mukono,2020-09-10,2.0
mukono,2020-09-11,3.0
mukono,2020-09-12,4.0
mukono,2020-09-13,5.0
mukono,2020-09-14,6.0
mukono,2020-09-15,7.0
mukono,2020-09-16,8.0
mukono,2020-09-17,9.0
mukono,2020-09-18,10.0
mukono,2020-09-19,11.0
mukono,2020-09-20,12.0
mukono,2020-09-21,1.0
mukono,2020-09-22,2.0
mukono,2020-09-23,3.0
mukono,2020-09-24,4.0
mukono,2020-09-25,5.0
mukono,2020-09-26,6.0
mukono,2020-09-27,7.0
mukono,2020-09-28,8.0
mukono,2020-09-29,9.0
mukono,2020-09-30,10.0
mukono,2020-10-01,11.0
mukono,2020-10-02,12.0
mukono,2020-10-03,1.0
mukono,2020-10-04,2.0
mukono,2020-10-05,3.0
mukono,2020-10-06,4.0
mukono,2020-10-07,5.0
mukono,2020-10-08,6.0
mukono,2020-10-09,7.0
mukono,2020-10-10,8.0
mukono,2020-10-11,9.0
mukono,2020-10-12,10.0
mukono,2020-10-13,11.0
mukono,2020-10-14,12.0
mukono,2020-10-15,1.0
mukono,2020-10-16,2.0
mukono,2020-10-17,3.0
mukono,2020-10-18,4.0
mukono,2020-10-19,5.0
mukono,2020-10-20,6.0
mukono,2020-10-21,7.0
mukono,2020-10-22,8.0
mukono,2020-10-23,9.0
mukono,2020-10-24,10.0
mukono,2020-10-25,11.0
mukono,2020-10-26,12.0
mukono,2020-10-27,1.0
mukono,2020-10-28,2.0
mukono,2020-10-29,3.0
mukono,2020-10-30,4.0
mukono,2020-10-31,5.0
mukono,2020-11-01,6.0
mukono,2020-11-02,7.0
mukono,2020-11-03,8.0
mukono,2020-11-04,9.0
mukono,2020-11-05,10.0
mukono,2020-11-06,11.0
mukono,2020-11-07,12.0
mukono,2020-11-08,1.0
mukono,2020-11-09,2.0
mukono,2020-11-10,3.0
mukono,2020-11-11,4.0
mukono,2020-11-12,5.0
mukono,2020-11-13,6.0
mukono,2020-11-14,7.0
mukono,2020-11-15,8.0
mukono,2020-11-16,9.0
mukono,2020-11-17,10.0
mukono,2020-11-18,11.0
mukono,2020-11-19,12.0
mukono,2020-11-20,1.0
mukono,2020-11-21,2.0
mukono,2020-11-22,3.0
mukono,2020-11-23,4.0
mukono,2020-11-24,5.0
mukono,2020-11-25,6.0
mukono,2020-11-26,7.0
mukono,2020-11-27,8.0
mukono,2020-11-28,9.0
mukono,2020-11-29,10.0
mukono,2020-11-30,11.0
mukono,2020-12-01,12.0
mukono,2020-12-02,1.0
mukono,2020-12-03,2.0
mukono,2020-12-04,3.0
mukono,2020-12-05,4.0
mukono,2020-12-06,5.0
mukono,2020-12-07,6.0
mukono,2020-12-08,7.0
mukono,2020-12-09,8.0
mukono,2020-12-10,9.0
mukono,2020-12-11,10.0
mukono,2020-12-12,11.0
mukono,2020-12-13,12.0
mukono,2020-12-14,1.0
mukono,2020-12-15,2.0
mukono,2020-12-16,3.0
mukono,2020-12-17,4.0
mukono,2020-12-18,5.0
mukono,2020-12-19,6.0
mukono,2020-12-20,7.0
mukono,2020-12-21,8.0
mukono,2020-12-22,9.0
mukono,2020-12-23,10.0
mukono,2020-12-24,11.0
mukono,2020-12-25,12.0
mukono,2020-12-26,1.0
mukono,2020-12-27,2.0
mukono,2020-12-28,3.0
mukono,2020-12-29,4.0
mukono,2020-12-30,5.0
mukono,2020-12-31,6.0
mukono,2021-01-01,7.0
mukono,2021-01-02,8.0
mukono,2021-01-03,9.0
mukono,2021-01-04,10.0
mukono,2021-01-05,11.0
mukono,2021-01-06,12.0
mukono,2021-01-07,1.0
mukono,2021-01-08,2.0
mukono,2021-01-09,3.0
mukono,2021-01-10,4.0
mukono,2021-01-11,5.0
mukono,2021-01-12,6.0
mukono,2021-01-13,7.0
mukono,2021-01-14,8.0
mukono,2021-01-15,9.0
mukono,2021-01-16,10.0
mukono,2021-01-17,11.0
mukono,2021-01-18,12.0
mukono,2021-01-19,1.0
mukono,2021-01-20,2.0
mukono,2021-01-21,3.0
mukono,2021-01-22,4.0
mukono,2021-01-23,5.0
mukono,2021-01-24,6.0
mukono,2021-01-25,7.0
mukono,2021-01-26,8.0
mukono,2021-01-27,9.0
mukono,2021-01-28,10.0
mukono,2021-01-29,11.0
mukono,2021-01-30,12.0
mukono,2021-01-31,1.0
mukono,2021-02-01,2.0
mukono,2021-02-02,3.0
mukono,2021-02-03,4.0
mukono,2021-02-04,5.0
mukono,2021-02-05,6.0
mukono,2021-02-06,7.0
mukono,2021-02-07,8.0
mukono,2021-02-08,9.0
mukono,2021-02-09,10.0
mukono,2021-02-10,11.0
mukono,2021-02-11,12.0
mukono,2021-02-12,1.0
mukono,2021-02-13,2.0
mukono,2021-02-14,3.0
mukono,2021-02-15,4.0
mukono,2021-02-16,5.0
mukono,2021-02-17,6.0
mukono,2021-02-18,7.0
mukono,2021-02-19,8.0
mukono,2021-02-20,9.0
mukono,2021-02-21,10.0
mukono,2021-02-22,11.0
mukono,2021-02-23,12.0
mukono,2021-02-24,1.0
mukono,2021-02-25,2.0
mukono,2021-02-26,3.0
mukono,2021-02-27,4.0
mukono,2021-02-28,5.0
mukono,2021-03-01,6.0
mukono,2021-03-02,7.0
mukono,2021-03-03,8.0
mukono,2021-03-04,9.0
mukono,2021-03-05,10.0
mukono,2021-03-06,11.0
mukono,2021-03-07,12.0
mukono,2021-03-08,1.0
mukono,2021-03-09,2.0
mukono,2021-03-10,3.0
mukono,2021-03-11,4.0
mukono,2021-03-12,5.0
mukono,2021-03-13,6.0
mukono,2021-03-14,7.0
mukono,2021-03-15,8.0
mukono,2021-03-16,9.0
mukono,2021-03-17,10.0
mukono,2021-03-18,11.0
mukono,2021-03-19,12.0
mukono,2021-03-20,1.0
mukono,2021-03-21,2.0
mukono,2021-03-22,3.0
mukono,2021-03-23,4.0
mukono,2021-03-24,5.0
mukono,2021-03-25,6.0
mukono,2021-03-26,7.0
mukono,2021-03-27,8.0
mukono,2021-03-28,9.0
mukono,2021-03-29,10.0
mukono,2021-03-30,11.0
mukono,2021-03-31,12.0
mukono,2021-04-01,1.0
mukono,2021-04-02,2.0
mukono,2021-04-03,3.0
mukono,2021-04-04,4.0
mukono,2021-04-05,5.0
mukono,2021-04-06,6.0
mukono,2021-04-07,7.0
mukono,2021-04-08,8.0
mukono,2021-04-09,9.0
mukono,2021-04-10,10.0
mukono,2021-04-11,11.0
mukono,2021-04-12,12.0
mukono,2021-04-13,1.0
mukono,2021-04-14,2.0
mukono,2021-04-15,3.0
mukono,2021-04-16,4.0
mukono,2021-04-17,5.0
mukono,2021-04-18,6.0
mukono,2021-04-19,7.0
mukono,2021-04-20,8.0
mukono,2021-04-21,9.0
mukono,2021-04-22,10.0
mukono,2021-04-23,11.0
mukono,2021-04-24,12.0
mukono,2021-04-25,1.0
mukono,2021-04-26,2.0
mukono,2021-04-27,3.0
mukono,2021-04-28,4.0
mukono,2021-04-29,5.0
mukono,2021-04-30,6.0
mukono,2021-05-01,7.0
mukono,2021-05-02,8.0
mukono,2021-05-03,9.0
mukono,2021-05-04,10.0
mukono,2021-05-05,11.0
mukono,2021-05-06,12.0
mukono,2021-05-07,1.0
mukono,2021-05-08,2.0
mukono,2021-05-09,3.0
mukono,2021-05-10,4.0
mukono,2021-05-11,5.0
mukono,2021-05-12,6.0
mukono,2021-05-13,7.0
mukono,2021-05-14,8.0
mukono,2021-05-15,9.0
mukono,2021-05-16,10.0
mukono,2021-05-17,11.0
mukono,2021-05-18,12.0
mukono,2021-05-19,1.0
mukono,2021-05-20,2.0
mukono,2021-05-21,3.0
mukono,2021-05-22,4.0
mukono,2021-05-23,5.0
mukono,2021-05-24,6.0
mukono,2021-05-25,7.0
mukono,2021-05-26,8.0
mukono,2021-05-27,9.0
mukono,2021-05-28,10.0
mukono,2021-05-29,11.0
mukono,2021-05-30,12.0
mukono,2021-05-31,1.0
mukono,2021-06-01,2.0
mukono,2021-06-02,3.0
mukono,2021-06-03,4.0
mukono,2021-06-04,5.0
mukono,2021-06-05,6.0
mukono,2021-06-06,7.0
mukono,2021-06-07,8.0
mukono,2021-06-08,9.0
mukono,2021-06-09,10.0
mukono,2021-06-10,11.0
mukono,2021-06-11,12.0
mukono,2021-06-12,1.0
mukono,2021-06-13,2.0
mukono,2021-06-14,3.0
mukono,2021-06-15,4.0
mukono,2021-06-16,5.0
mukono,2021-06-17,6.0
mukono,2021-06-18,7.0
mukono,2021-06-19,8.0
mukono,2021-06-20,9.0
mukono,2021-06-21,10.0
mukono,2021-06-22,11.0
mukono,2021-06-23,12.0
mukono,2021-06-24,1.0
mukono,2021-06-25,2.0
mukono,2021-06-26,3.0
mukono,2021-06-27,4.0
mukono,2021-06-28,5.0
mukono,2021-06-29,6.0
mukono,2021-06-30,7.0
mukono,2021-07-01,8.0
mukono,2021-07-02,9.0
mukono,2021-07-03,10.0
mukono,2021-07-04,11.0
mukono,2021-07-05,12.0
mukono,2021-07-06,1.0
mukono,2021-07-07,2.0
mukono,2021-07-08,3.0
mukono,2021-07-09,4.0
mukono,2021-07-10,5.0
mukono,2021-07-11,6.0
mukono,2021-07-12,7.0
mukono,2021-07-13,8.0
mukono,2021-07-14,9.0
mukono,2021-07-15,10.0
mukono,2021-07-16,11.0
mukono,2021-07-17,12.0
mukono,2021-07-18,1.0
mukono,2021-07-19,2.0
mukono,2021-07-20,3.0
mukono,2021-07-21,4.0
mukono,2021-07-22,5.0
mukono,2021-07-23,6.0
mukono,2021-07-24,7.0
mukono,2021-07-25,8.0
mukono,2021-07-26,9.0
mukono,2021-07-27,10.0
mukono,2021-07-28,11.0
mukono,2021-07-29,12.0
mukono,2021-07-30,1.0
mukono,2021-07-31,2.0
mukono,2021-08-01,3.0
mukono,2021-08-02,4.0
mukono,2021-08-03,5.0
mukono,2021-08-04,6.0
mukono,2021-08-05,7.0
mukono,2021-08-06,8.0
mukono,2021-08-07,9.0
mukono,2021-08-08,10.0
mukono,2021-08-09,11.0
mukono,2021-08-10,12.0
mukono,2021-08-11,1.0
mukono,2021-08-12,2.0
mukono,2021-08-13,3.0
mukono,2021-08-14,4.0
mukono,2021-08-15,5.0
mukono,2021-08-16,6.0
mukono,2021-08-17,7.0
mukono,2021-08-18,8.0
mukono,2021-08-19,9.0
mukono,2021-08-20,10.0
mukono,2021-08-21,11.0
mukono,2021-08-22,12.0
mukono,2021-08-23,1.0
mukono,2021-08-24,2.0
mukono,2021-08-25,3.0
mukono,2021-08-26,4.0
mukono,2021-08-27,5.0
mukono,2021-08-28,6.0
mukono,2021-08-29,7.0
mukono,2021-08-30,8.0
mukono,2021-08-31,9.0
mukono,2021-09-01,10.0
mukono,2021-09-02,11.0
mukono,2021-09-03,12.0
mukono,2021-09-04,1.0
mukono,2021-09-05,2.0
mukono,2021-09-06,3.0
mukono,2021-09-07,4.0
mukono,2021-09-08,5.0
mukono,2021-09-09,6.0
mukono,2021-09-10,7.0
mukono,2021-09-11,8.0
mukono,2021-09-12,9.0
mukono,2021-09-13,10.0
mukono,2021-09-14,11.0
mukono,2021-09-15,12.0
mukono,2021-09-16,1.0
mukono,2021-09-17,2.0
mukono,2021-09-18,3.0
mukono,2021-09-19,4.0
mukono,2021-09-20,5.0
mukono,2021-09-21,6.0
mukono,2021-09-22,7.0
mukono,2021-09-23,8.0
mukono,2021-09-24,9.0
mukono,2021-09-25,10.0
mukono,2021-09-26,11.0
mukono,2021-09-27,12.0
mukono,2021-09-28,1.0
mukono,2021-09-29,2.0
mukono,2021-09-30,3.0
mukono,2021-10-01,4.0
mukono,2021-10-02,5.0
mukono,2021-10-03,6.0
mukono,2021-10-04,7.0
mukono,2021-10-05,8.0
mukono,2021-10-06,9.0
mukono,2021-10-07,10.0
mukono,2021-10-08,11.0
mukono,2021-10-09,12.0
mukono,2021-10-10,1.0
mukono,2021-10-11,2.0
mukono,2021-10-12,3.0
mukono,2021-10-13,4.0
mukono,2021-10-14,5.0
mukono,2021-10-15,6.0
mukono,2021-10-16,7.0
mukono,2021-10-17,8.0
mukono,2021-10-18,9.0
mukono,2021-10-19,10.0
mukono,2021-10-20,11.0
mukono,2021-10-21,12.0
mukono,2021-10-22,1.0
mukono,2021-10-23,2.0
mukono,2021-10-24,3.0
mukono,2021-10-25,4.0
mukono,2021-10-26,5.0
mukono,2021-10-27,6.0
mukono,2021-10-28,7.0
mukono,2021-10-29,8.0
mukono,2021-10-30,9.0
mukono,2021-10-31,10.0
mukono,2021-11-01,11.0
mukono,2021-11-02,12.0
mukono,2021-11-03,1.0
mukono,2021-11-04,2.0
mukono,2021-11-05,3.0
mukono,2021-11-06,4.0
mukono,2021-11-07,5.0
mukono,2021-11-08,6.0
mukono,2021-11-09,7.0
mukono,2021-11-10,8.0
mukono,2021-11-11,9.0
mukono,2021-11-12,10.0
mukono,2021-11-13,11.0
mukono,2021-11-14,12.0
mukono,2021-11-15,1.0
mukono,2021-11-16,2.0
mukono,2021-11-17,3.0
mukono,2021-11-18,4.0
mukono,2021-11-19,5.0
mukono,2021-11-20,6.0
mukono,2021-11-21,7.0
mukono,2021-11-22,8.0
mukono,2021-11-23,9.0
mukono,2021-11-24,10.0
mukono,2021-11-25,11.0
mukono,2021-11-26,12.0
mukono,2021-11-27,1.0
mukono,2021-11-28,2.0
mukono,2021-11-29,3.0
mukono,2021-11-30,4.0
mukono,2021-12-01,5.0
mukono,2021-12-02,6.0
mukono,2021-12-03,7.0
mukono,2021-12-04,8.0
mukono,2021-12-05,9.0
mukono,2021-12-06,10.0
mukono,2021-12-07,11.0
mukono,2021-12-08,12.0
mukono,2021-12-09,1.0
mukono,2021-12-10,2.0
mukono,2021-12-11,3.0
mukono,2021-12-12,4.0
mukono,2021-12-13,5.0
mukono,2021-12-14,6.0
mukono,2021-12-15,7.0
mukono,2021-12-16,8.0
mukono,2021-12-17,9.0
mukono,2021-12-18,10.0
mukono,2021-12-19,11.0
mukono,2021-12-20,12.0
mukono,2021-12-21,1.0
mukono,2021-12-22,2.0
mukono,2021-12-23,3.0
mukono,2021-12-24,4.0
mukono,2021-12-25,5.0
mukono,2021-12-26,6.0
mukono,2021-12-27,7.0
mukono,2021-12-28,8.0
mukono,2021-12-29,9.0
mukono,2021-12-30,10.0
mukono,2021-12-31,11.0
mukono,2022-01-01,12.0
mukono,2022-01-02,1.0
mukono,2022-01-03,2.0
mukono,2022-01-04,3.0
mukono,2022-01-05,4.0
mukono,2022-01-06,5.0
mukono,2022-01-07,6.0
mukono,2022-01-08,7.0
mukono,2022-01-09,8.0
mukono,2022-01-10,9.0
mukono,2022-01-11,10.0
mukono,2022-01-12,11.0
mukono,2022-01-13,12.0
mukono,2022-01-14,1.0
mukono,2022-01-15,2.0
mukono,2022-01-16,3.0
mukono,2022-01-17,4.0
mukono,2022-01-18,5.0
mukono,2022-01-19,6.0
mukono,2022-01-20,7.0
mukono,2022-01-21,8.0
mukono,2022-01-22,9.0
mukono,2022-01-23,10.0
mukono,2022-01-24,11.0
mukono,2022-01-25,12.0
mukono,2022-01-26,1.0
mukono,2022-01-27,2.0
mukono,2022-01-28,3.0
mukono,2022-01-29,4.0
mukono,2022-01-30,5.0
mukono,2022-01-31,6.0
mukono,2022-02-01,7.0
mukono,2022-02-02,8.0
mukono,2022-02-03,9.0
mukono,2022-02-04,10.0
mukono,2022-02-05,11.0
mukono,2022-02-06,12.0
mukono,2022-02-07,1.0
mukono,2022-02-08,2.0
mukono,2022-02-09,3.0
mukono,2022-02-10,4.0
mukono,2022-02-11,5.0
mukono,2022-02-12,6.0
mukono,2022-02-13,7.0
mukono,2022-02-14,8.0
mukono,2022-02-15,9.0
mukono,2022-02-16,10.0
mukono,2022-02-17,11.0
mukono,2022-02-18,12.0
mukono,2022-02-19,1.0
mukono,2022-02-20,2.0
mukono,2022-02-21,3.0
mukono,2022-02-22,4.0
mukono,2022-02-23,5.0
mukono,2022-02-24,6.0
mukono,2022-02-25,7.0
mukono,2022-02-26,8.0
mukono,2022-02-27,9.0
mukono,2022-02-28,10.0
mukono,2022-03-01,11.0
mukono,2022-03-02,12.0
mukono,2022-03-03,1.0
mukono,2022-03-04,2.0
mukono,2022-03-05,3.0
mukono,2022-03-06,4.0
mukono,2022-03-07,5.0
mukono,2022-03-08,6.0
mukono,2022-03-09,7.0
mukono,2022-03-10,8.0
mukono,2022-03-11,9.0
mukono,2022-03-12,10.0
mukono,2022-03-13,11.0
mukono,2022-03-14,12.0
mukono,2022-03-15,1.0
mukono,2022-03-16,2.0
mukono,2022-03-17,3.0
mukono,2022-03-18,4.0
mukono,2022-03-19,5.0
mukono,2022-03-20,6.0
mukono,2022-03-21,7.0
mukono,2022-03-22,8.0
mukono,2022-03-23,9.0
mukono,2022-03-24,10.0
mukono,2022-03-25,11.0
mukono,2022-03-26,12.0
mukono,2022-03-27,1.0
mukono,2022-03-28,2.0
mukono,2022-03-29,3.0
mukono,2022-03-30,4.0
mukono,2022-03-31,5.0
mukono,2022-04-01,6.0
mukono,2022-04-02,7.0
mukono,2022-04-03,8.0
mukono,2022-04-04,9.0
mukono,2022-04-05,10.0
mukono,2022-04-06,11.0
mukono,2022-04-07,12.0
mukono,2022-04-08,1.0
mukono,2022-04-09,2.0
mukono,2022-04-10,3.0
mukono,2022-04-11,4.0
mukono,2022-04-12,5.0
mukono,2022-04-13,6.0
mukono,2022-04-14,7.0
mukono,2022-04-15,8.0
mukono,2022-04-16,9.0
mukono,2022-04-17,10.0
mukono,2022-04-18,11.0
mukono,2022-04-19,12.0
mukono,2022-04-20,1.0
mukono,2022-04-21,2.0
mukono,2022-04-22,3.0
mukono,2022-04-23,4.0
mukono,2022-04-24,5.0
mukono,2022-04-25,6.0
mukono,2022-04-26,7.0
mukono,2022-04-27,8.0
mukono,2022-04-28,9.0
mukono,2022-04-29,10.0
mukono,2022-04-30,11.0
mukono,2022-05-01,12.0
mukono,2022-05-02,1.0
mukono,2022-05-03,2.0
mukono,2022-05-04,3.0
mukono,2022-05-05,4.0
mukono,2022-05-06,5.0
mukono,2022-05-07,6.0
mukono,2022-05-08,7.0
mukono,2022-05-09,8.0
mukono,2022-05-10,9.0
mukono,2022-05-11,10.0
mukono,2022-05-12,11.0
mukono,2022-05-13,12.0
mukono,2022-05-14,1.0
mukono,2022-05-15,2.0
mukono,2022-05-16,3.0
mukono,2022-05-17,4.0
mukono,2022-05-18,5.0
mukono,2022-05-19,6.0
mukono,2022-05-20,7.0
mukono,2022-05-21,8.0
mukono,2022-05-22,9.0
mukono,2022-05-23,10.0
mukono,2022-05-24,11.0
mukono,2022-05-25,12.0
mukono,2022-05-26,1.0
mukono,2022-05-27,2.0
mukono,2022-05-28,3.0
mukono,2022-05-29,4.0
mukono,2022-05-30,5.0
mukono,2022-05-31,6.0
mukono,2022-06-01,7.0
mukono,2022-06-02,8.0
mukono,2022-06-03,9.0
mukono,2022-06-04,10.0
mukono,2022-06-05,11.0
mukono,2022-06-06,12.0
mukono,2022-06-07,1.0
mukono,2022-06-08,2.0
mukono,2022-06-09,3.0
mukono,2022-06-10,4.0
mukono,2022-06-11,5.0
mukono,2022-06-12,6.0
mukono,2022-06-13,7.0
mukono,2022-06-14,8.0
mukono,2022-06-15,9.0
mukono,2022-06-16,10.0
mukono,2022-06-17,11.0
mukono,2022-06-18,12.0
mukono,2022-06-19,1.0
mukono,2022-06-20,2.0
mukono,2022-06-21,3.0
mukono,2022-06-22,4.0
mukono,2022-06-23,5.0
mukono,2022-06-24,6.0
mukono,2022-06-25,7.0
mukono,2022-06-26,8.0
mukono,2022-06-27,9.0
mukono,2022-06-28,10.0
mukono,2022-06-29,11.0
mukono,2022-06-30,12.0
bwais,2020-01-01,1.7
bwais,2020-01-02,3.4
bwais,2020-01-03,5.1
bwais,2020-01-04,6.8
bwais,2020-01-05,8.5
bwais,2020-01-06,10.2
bwais,2020-01-07,11.9
bwais,2020-01-08,13.6
bwais,2020-01-09,15.3
bwais,2020-01-10,17.0
bwais,2020-01-11,18.7
bwais,2020-01-12,20.4
bwais,2020-01-13,1.7
bwais,2020-01-14,3.4
bwais,2020-01-15,5.1
bwais,2020-01-16,6.8
bwais,2020-01-17,8.5
bwais,2020-01-18,10.2
bwais,2020-01-19,11.9
