id,date,market,commodity,price
68,2022-05-18,mukono,BEANS,500
69,2021-09-01,Nakasero,BEANS,500
70,2022-07-07,Bwais,BEANS,500
71,2022-03-07,,BEANS,500
72,2020-08-28,Nakasero,Beans,500
73,2021-12-11,Bwais,MAIZE,500
74,2020-03-04,Bwais,BEANS,500
75,2021-01-24,Kansanga,Maize,500
76,2022-09-03,Kansanga,MAIZE,500
77,2020-14-15,Nakasero,BEANS,500
78,2021-06-30,mukono,BEANS,500
79,2022-06-06,Kansanga,MAIZE,500
80,2020-12-11,Kansanga,Beans,500
81,2020-01-20,,Maize,500
82,2022-09-07,mukono,Maize,500
83,2020-09-01,Bwais,BEANS,500
84,2021-01-12,Bwais,Maize,500
85,2020-01-27,Nakasero,BEANS,500
86,2021-10-04,Bwais,Maize,500
87,2020-05-03,,Maize,500
88,2021-10-25,Nakasero,Maize,500
89,2021-10-12,Kansanga,MAIZE,500
90,2022-03-04,Kansanga,BEANS,500
91,2022-08-15,mukono,Beans,500
92,2021-11-15,Kansanga,Beans,-2000
93,2020-08-05,Nakasero,Beans,500
94,2020-07-14,mukono,MAIZE,500
95,2021-05-02,Kansanga,BEANS,500
96,2020-09-06,Nakasero,Beans,500
97,2020-12-04,Nakasero,BEANS,500
98,2020-11-19,mukono,MAIZE,500
99,2022-02-17,,Beans,500
100,2020-11-05,mukono,MAIZE,500
101,2020-05-09,Kansanga,Maize,500
102,2020-07-07,mukono,Beans,500
103,2021-05-18,mukono,Maize,500
104,2021-07-25,Kansanga,MAIZE,500
105,2022-05-30,,BEANS,500
106,2022-08-28,Bwais,MAIZE,500
107,2020-03-17,Bwais,Maize,500
108,2021-12-24,Nakasero,BEANS,500
109,2021-10-02,,MAIZE,500
110,2022-04-26,Bwais,Maize,500
111,2022-08-01,Nakasero,BEANS,500
112,2021-05-27,,BEANS,500
113,2021-09-10,Nakasero,Maize,500
114,2020-10-02,,Maize,500
115,2022-07-27,Nakasero,MAIZE,500
116,2020-04-03,Kansanga,Beans,500
117,2020-12-03,Kansanga,BEANS,500
118,2021-04-10,mukono,Beans,500
119,2021-06-10,mukono,BEANS,500
120,2021-05-25,Kansanga,Maize,500
121,2021-12-16,Kansanga,Maize,-2000
122,2021-12-27,Bwais,Beans,500
123,2022-07-23,mukono,BEANS,500
124,2021-06-05,Nakasero,BEANS,500
125,2021-01-27,Bwais,MAIZE,500
126,2020-12-14,,Beans,500
127,2021-08-16,Kansanga,MAIZE,500
128,2021-07-10,Kansanga,BEANS,500
129,2021-01-27,Bwais,BEANS,-2000
130,2022-04-10,Kansanga,BEANS,500
131,2021-05-29,,Beans,500
132,2020-01-16,Bwais,BEANS,500
133,2020-09-28,Nakasero,BEANS,500
134,2021-01-24,Nakasero,BEANS,500
135,2021-12-01,Nakasero,MAIZE,500
136,2021-12-21,mukono,BEANS,500
137,2022-03-26,mukono,Beans,500
138,2021-08-02,Bwais,MAIZE,500
139,2022-07-23,,MAIZE,500
140,2022-07-09,Kansanga,Beans,500
141,2021-08-24,Nakasero,BEANS,500
142,2021-01-28,Kansanga,Maize,500
143,2020-10-29,mukono,BEANS,500
144,2022-05-02,Nakasero,MAIZE,500
145,2020-09-13,Bwais,Maize,500
146,2021-08-16,Nakasero,MAIZE,500
147,2020-07-24,Bwais,Beans,500
148,2022-04-24,Kansanga,Beans,500
149,2020-03-18,Bwais,MAIZE,500
150,2021-01-09,mukono,BEANS,-2000
151,2021-11-19,Nakasero,BEANS,500
152,2020-01-26,,Beans,500
153,2021-04-20,Nakasero,BEANS,500
154,2021-05-19,mukono,Maize,500
155,2022-08-30,,BEANS,500
156,2022-05-03,Kansanga,BEANS,500
157,2021-03-30,Kansanga,MAIZE,500
158,2022-07-12,Nakasero,Maize,500
159,2022-04-23,Kansanga,Maize,500
160,2020-05-08,,MAIZE,500
161,2020-08-26,Nakasero,MAIZE,500
162,2020-05-13,,Beans,500
163,2020-14-15,mukono,Beans,500
164,2020-14-15,Nakasero,Maize,500
165,2021-05-02,Kansanga,Beans,500
166,2021-09-21,mukono,Beans,500
167,2021-02-15,Kansanga,Maize,500
168,2021-09-14,Bwais,Maize,500
169,2020-10-28,Kansanga,BEANS,500
170,2022-02-26,,MAIZE,500
171,2021-02-12,Kansanga,Maize,500
172,2020-06-05,Kansanga,Maize,500
173,2022-01-26,Nakasero,MAIZE,500
174,2022-06-13,Kansanga,Maize,500
175,2020-08-05,Bwais,BEANS,500
176,2020-04-27,Nakasero,MAIZE,500
177,2021-12-11,Nakasero,Maize,500
178,2020-07-04,Bwais,BEANS,500
179,2021-01-20,Kansanga,BEANS,500
180,2022-08-22,,Maize,500
181,2021-11-21,mukono,Beans,500
182,2020-10-06,Bwais,Maize,500
183,2021-05-13,,Beans,-2000
184,2020-01-08,Bwais,Beans,500
185,2020-05-02,mukono,BEANS,500
186,2020-08-23,,Beans,500
187,2020-03-20,Nakasero,BEANS,500
188,2022-09-16,Nakasero,MAIZE,500
189,2020-03-31,Kansanga,Maize,500
190,2020-11-13,Nakasero,MAIZE,500
191,2021-06-27,,MAIZE,500
192,2021-10-22,Bwais,MAIZE,500
193,2022-02-17,mukono,MAIZE,500
194,2021-08-16,Kansanga,Beans,500
195,2021-03-28,Nakasero,Beans,500
196,2021-04-07,mukono,Maize,500
197,2022-05-25,mukono,BEANS,500
198,2021-10-29,Bwais,Beans,500
199,2022-04-10,Nakasero,Maize,500
200,2021-03-25,,MAIZE,500
201,2021-11-26,,Maize,500
202,2021-11-25,Kansanga,Beans,500
203,2020-05-24,Nakasero,Beans,500
204,2020-03-27,Nakasero,BEANS,500
205,2022-04-28,,Maize,500
206,2020-14-15,Nakasero,MAIZE,500
207,2020-08-19,Bwais,MAIZE,500
208,2022-01-26,,Maize,500
209,2020-07-04,,MAIZE,500
210,2020-08-31,Kansanga,Beans,500
211,2022-09-15,Kansanga,MAIZE,500
212,2021-01-26,,BEANS,500
213,2020-09-13,mukono,BEANS,500
214,2020-05-07,Nakasero,Maize,500
215,2022-04-30,Kansanga,Maize,500
216,2022-08-10,mukono,BEANS,500
217,2021-01-18,Bwais,Maize,500
218,2022-03-21,Bwais,MAIZE,-2000
219,2022-05-01,Bwais,BEANS,500
220,2020-14-15,Bwais,MAIZE,500
221,2020-11-04,mukono,Maize,500
222,2021-05-26,,Maize,500
223,2020-01-02,,Beans,500
224,2021-06-20,Nakasero,Maize,500
225,2021-10-12,Kansanga,Beans,500
226,2020-09-03,mukono,Beans,500
227,2020-06-28,Kansanga,BEANS,500
228,2021-04-13,mukono,Beans,500
229,2020-11-13,,BEANS,500
230,2020-07-14,Nakasero,Beans,500
231,2020-05-07,Nakasero,BEANS,500
232,2022-09-24,Bwais,BEANS,500
233,2022-03-31,mukono,BEANS,500
234,2020-03-22,Nakasero,Beans,500
235,2021-04-02,mukono,Beans,500
236,2022-08-28,mukono,Maize,500
237,2021-11-26,Bwais,Maize,500
238,2022-03-08,Nakasero,Beans,500
239,2022-08-29,Nakasero,Beans,500
240,2021-02-11,Nakasero,Beans,500
241,2021-06-14,Kansanga,Maize,500
242,2021-09-18,Nakasero,BEANS,500
243,2022-07-09,Kansanga,Maize,500
244,2021-07-17,,Beans,500
245,2021-10-15,Bwais,Beans,500
246,2020-08-30,Kansanga,Maize,500
247,2020-05-12,,Maize,500
248,2021-06-22,Kansanga,BEANS,500
249,2020-03-16,Kansanga,BEANS,500
250,2021-07-18,,MAIZE,500
251,2020-02-26,mukono,MAIZE,500
252,2020-12-20,,Beans,500
253,2020-10-08,Bwais,Beans,500
254,2022-08-22,,MAIZE,500
255,2022-04-25,mukono,Maize,-2000
256,2021-10-28,Bwais,BEANS,500
257,2020-10-23,Nakasero,BEANS,500
258,2020-03-02,Bwais,BEANS,500
259,2020-11-16,Nakasero,Beans,500
260,2020-04-18,Nakasero,MAIZE,500
261,2020-02-21,Nakasero,BEANS,500
262,2020-06-12,Nakasero,Beans,500
263,2021-05-25,Nakasero,BEANS,-2000
264,2022-09-16,Bwais,MAIZE,500
265,2022-06-22,Kansanga,Beans,500
266,2022-01-14,Nakasero,BEANS,500
267,2021-01-06,,Beans,500
268,2021-09-30,,Maize,500
269,2020-12-13,,Beans,500
270,2020-02-11,mukono,Maize,500
271,2020-06-01,,MAIZE,500
272,2022-01-27,Nakasero,Beans,500
273,2022-04-15,mukono,Beans,500
274,2022-03-26,mukono,BEANS,500
275,2020-06-23,,BEANS,500
276,2020-04-22,Bwais,Maize,500
277,2021-02-24,,BEANS,500
278,2021-07-28,Nakasero,BEANS,500
279,2021-06-29,Nakasero,Beans,500
280,2020-09-09,Nakasero,Beans,500
281,2021-12-07,Kansanga,Beans,500
282,2021-07-10,Kansanga,BEANS,500
283,2022-01-01,mukono,Beans,500
284,2022-04-27,,Beans,500
285,2021-08-23,Bwais,MAIZE,500
286,2021-02-27,Nakasero,BEANS,500
286,2022-08-09,Bwais,BEANS,500
288,2022-09-14,Nakasero,Beans,500
289,2021-08-10,Bwais,Maize,500
290,2022-08-14,mukono,BEANS,500
291,2022-08-06,Nakasero,Maize,-2000
292,2020-12-09,Nakasero,BEANS,500
293,2021-05-31,Kansanga,Beans,500
294,2021-10-25,Nakasero,MAIZE,-2000
295,2021-11-21,Bwais,MAIZE,500
296,2020-03-29,Kansanga,Maize,500
297,2020-01-07,Nakasero,BEANS,500
298,2022-01-10,,Maize,500
299,2020-05-01,Kansanga,Beans,500
300,2022-08-21,Nakasero,Beans,500
301,2021-04-10,,Beans,500
302,2022-04-25,Bwais,MAIZE,500
303,2021-01-05,mukono,Maize,500
304,2020-12-01,,BEANS,500
305,2022-07-09,,BEANS,500
306,2021-07-31,mukono,BEANS,500
307,2022-04-16,mukono,MAIZE,500
308,2021-07-08,mukono,Maize,500
309,2022-02-26,Bwais,BEANS,500
310,2021-01-21,Kansanga,Maize,500
311,2020-07-01,,BEANS,500
312,2020-11-01,Kansanga,BEANS,500
313,2020-10-09,Bwais,Maize,-2000
314,2022-08-16,mukono,MAIZE,500
315,2021-11-19,mukono,MAIZE,500
316,2022-02-11,mukono,MAIZE,500
317,2021-08-12,Nakasero,Beans,500
318,2021-02-27,Nakasero,Beans,500
319,2021-05-22,mukono,Beans,500
320,2021-03-02,Kansanga,MAIZE,500
321,2022-05-19,Bwais,Beans,500
322,2021-07-29,Kansanga,BEANS,500
323,2020-12-04,mukono,BEANS,500
324,2020-02-22,Nakasero,BEANS,500
325,2022-02-18,,MAIZE,500
326,2020-08-04,Bwais,Maize,500
327,2021-12-21,Bwais,BEANS,500
328,2021-06-30,Nakasero,Beans,500
329,2022-01-09,Kansanga,Beans,500
330,2022-06-03,Bwais,MAIZE,-2000
331,2022-01-07,Kansanga,Beans,500
332,2020-09-08,Kansanga,Beans,500
333,2021-05-17,Kansanga,MAIZE,500
334,2021-05-15,Bwais,Maize,500
335,2022-02-21,mukono,BEANS,500
336,2020-08-11,,BEANS,500
337,2020-14-15,,BEANS,-2000
338,2022-09-27,Nakasero,Maize,500
339,2020-04-19,mukono,MAIZE,500
340,2021-02-10,mukono,Beans,500
341,2020-08-19,Nakasero,Maize,500
342,2021-07-19,Kansanga,Maize,500
343,2021-10-22,Nakasero,Maize,500
344,2021-12-09,,BEANS,500
345,2021-07-10,,Maize,500
345,2020-05-27,Kansanga,Maize,500
347,2021-11-24,,Beans,500
348,2020-03-21,,Beans,500
349,2021-09-11,,BEANS,500
350,2021-04-06,Kansanga,MAIZE,500
351,2021-11-07,Kansanga,Maize,500
352,2020-03-25,Nakasero,MAIZE,500
353,2020-04-19,mukono,Maize,500
354,2020-05-15,mukono,MAIZE,500
355,2021-07-21,mukono,Beans,500
356,2020-03-27,,MAIZE,500
357,2020-10-02,Nakasero,Beans,500
358,2020-11-02,Kansanga,Maize,500
359,2021-09-23,Bwais,BEANS,500
359,2022-05-11,,BEANS,500
361,2022-04-23,,MAIZE,500
362,2021-02-11,Nakasero,Beans,500
363,2020-11-29,Kansanga,Beans,500
364,2020-07-23,,MAIZE,500
365,2021-12-26,Bwais,BEANS,500
366,2021-02-22,Kansanga,MAIZE,500
367,2021-03-09,Kansanga,Maize,500
368,2022-08-03,Kansanga,Maize,500
369,2021-08-31,mukono,Maize,500
370,2021-07-30,Kansanga,Beans,500
371,2020-08-15,,MAIZE,500
372,2021-12-08,,MAIZE,500
373,2022-07-31,mukono,Maize,500
374,2022-03-14,Bwais,BEANS,500
375,2020-11-22,mukono,Beans,-2000
376,2020-14-15,Nakasero,Maize,500
377,2021-06-12,Bwais,MAIZE,500
378,2021-02-18,Bwais,MAIZE,500
379,2022-06-23,Bwais,BEANS,500
379,2020-10-12,mukono,Maize,500
381,2020-04-26,Nakasero,BEANS,500
382,2021-08-24,mukono,Beans,500
383,2021-12-23,Nakasero,Maize,500
384,2020-07-06,Nakasero,MAIZE,500
385,2021-03-09,Bwais,BEANS,500
386,2020-05-23,Bwais,Beans,500
387,2021-05-11,Bwais,MAIZE,500
388,2021-12-28,Kansanga,BEANS,500
389,2020-02-03,Nakasero,MAIZE,500
390,2022-03-02,Kansanga,Maize,500
391,2021-01-10,,Maize,500
392,2020-04-14,Bwais,Beans,500
393,2022-04-16,mukono,BEANS,500
394,2022-04-10,,Beans,500
395,2020-07-30,Bwais,Maize,500
396,2021-12-21,Nakasero,Beans,500
397,2021-02-25,mukono,Beans,500
398,2020-05-29,Nakasero,MAIZE,500
399,2020-10-02,Kansanga,BEANS,500
400,2021-12-12,Nakasero,BEANS,500
401,2022-05-17,mukono,BEANS,500
402,2021-02-11,Bwais,BEANS,500
403,2020-12-11,,MAIZE,500
404,2022-02-19,mukono,Maize,500
404,2020-06-10,Kansanga,BEANS,-2000
406,2021-12-06,Bwais,Beans,500
407,2020-03-25,Nakasero,MAIZE,500
408,2021-03-15,mukono,Maize,-2000
409,2020-08-19,,BEANS,-2000
410,2022-05-30,Kansanga,MAIZE,500
411,2020-04-14,mukono,Beans,500
412,2022-02-10,Bwais,MAIZE,500
413,2020-12-25,Bwais,MAIZE,500
414,2020-04-12,Bwais,Maize,500
415,2022-03-21,Bwais,MAIZE,500
416,2022-01-08,,Beans,500
417,2020-11-04,Bwais,MAIZE,500
418,2022-03-23,Bwais,BEANS,500
419,2021-06-24,mukono,Beans,500
420,2021-03-06,Nakasero,MAIZE,500
420,2020-09-25,Bwais,Maize,500
422,2021-05-28,Kansanga,BEANS,500
423,2020-06-05,Nakasero,Maize,500
424,2020-11-30,Kansanga,Maize,500
425,2020-02-29,Bwais,Maize,500
426,2020-11-12,Bwais,Maize,-2000
427,2020-14-15,Kansanga,Beans,500
428,2022-03-10,Nakasero,Maize,500
429,2021-06-20,mukono,Beans,500
430,2020-02-26,Kansanga,MAIZE,500
431,2021-11-21,mukono,MAIZE,500
432,2020-09-07,mukono,BEANS,500
433,2020-02-06,,BEANS,500
434,2020-10-04,mukono,Beans,500
435,2020-02-17,Kansanga,Maize,500
436,2020-03-29,,BEANS,-2000
437,2020-11-07,,MAIZE,500
438,2022-01-20,,MAIZE,500
439,2021-10-13,mukono,Beans,-2000
440,2022-01-14,Nakasero,Maize,500
441,2022-09-22,Bwais,Beans,500
442,2021-12-18,Nakasero,BEANS,500
443,2021-10-14,Kansanga,Maize,500
444,2020-08-30,Nakasero,Beans,500
445,2020-11-21,Kansanga,Beans,500
446,2020-04-21,Bwais,Maize,500
447,2021-01-01,Bwais,BEANS,500
448,2022-04-06,Nakasero,Maize,500
449,2022-09-18,Nakasero,BEANS,500
450,2020-02-01,Kansanga,BEANS,500
451,2022-03-23,Bwais,Maize,-2000
452,2020-05-13,Bwais,BEANS,500
453,2022-04-12,mukono,Maize,500
454,2020-05-11,mukono,Beans,500
455,2021-03-19,Kansanga,BEANS,-2000
456,2020-08-07,Bwais,Beans,500
457,2020-09-08,Nakasero,BEANS,500
458,2020-05-20,Kansanga,MAIZE,500
459,2022-03-24,mukono,BEANS,500
460,2020-12-18,,Beans,500
461,2020-01-31,Nakasero,Maize,500
462,2020-08-26,Bwais,Maize,500
463,2022-07-28,mukono,MAIZE,500
464,2022-05-15,Bwais,MAIZE,500
465,2022-07-24,,Maize,500
466,2021-07-30,Bwais,BEANS,500
467,2020-08-26,,MAIZE,-2000
468,2021-09-20,Bwais,MAIZE,500
469,2020-11-27,mukono,Maize,500
470,2022-05-31,Nakasero,Maize,500
471,2020-11-26,Bwais,MAIZE,500
472,2021-10-26,Nakasero,MAIZE,500
473,2020-06-28,Kansanga,Beans,500
474,2022-08-29,,BEANS,500
475,2022-04-08,,MAIZE,500
476,2022-02-02,mukono,MAIZE,500
477,2020-03-31,Nakasero,BEANS,-2000
478,2020-12-24,Nakasero,Maize,500
479,2022-09-19,Bwais,BEANS,500
480,2022-04-28,Kansanga,MAIZE,500
481,2020-01-21,Nakasero,Beans,500
482,2020-06-13,mukono,Maize,500
483,2021-10-31,Bwais,BEANS,500
484,2021-02-23,,Beans,500
485,2021-08-08,,BEANS,500
485,2022-04-23,,BEANS,500
487,2022-09-27,mukono,BEANS,500
488,2022-07-05,Nakasero,Maize,500
489,2021-01-13,Bwais,BEANS,-2000
490,2022-05-07,Nakasero,Maize,500
491,2021-07-08,Kansanga,MAIZE,500
492,2021-07-02,Kansanga,MAIZE,500
493,2020-02-05,,MAIZE,500
494,2022-09-22,Bwais,MAIZE,500
495,2020-07-25,Bwais,Beans,500
496,2021-07-19,Nakasero,Beans,500
497,2021-06-19,Kansanga,Maize,500
498,2022-09-14,mukono,Maize,500
499,2022-06-20,Nakasero,BEANS,500
500,2020-06-25,Nakasero,BEANS,500
501,2020-12-05,Bwais,Maize,500
502,2020-14-15,Nakasero,Beans,500
503,2022-09-22,Bwais,MAIZE,500
504,2022-01-16,Kansanga,Maize,500
505,2021-05-11,,Beans,500
506,2021-02-17,Bwais,Maize,500
507,2021-04-12,mukono,Beans,500
508,2021-02-10,mukono,Maize,500
509,2022-06-10,Kansanga,Beans,500
510,2020-10-18,mukono,BEANS,-2000
511,2020-08-07,Bwais,MAIZE,500
512,2022-06-04,mukono,BEANS,500
513,2020-14-15,Nakasero,Beans,500
514,2020-12-23,Kansanga,Beans,500
515,2021-02-10,,Maize,-2000
516,2022-05-09,Nakasero,Beans,500
517,2020-10-10,Nakasero,Beans,500
518,2020-09-03,mukono,BEANS,500
519,2020-10-29,Nakasero,BEANS,500
520,2022-04-15,Bwais,Beans,500
521,2021-05-02,Nakasero,Beans,500
522,2022-01-28,Nakasero,MAIZE,500
523,2020-08-16,Nakasero,BEANS,500
524,2021-04-19,mukono,BEANS,500
525,2020-05-02,Kansanga,Beans,500
526,2021-02-23,,BEANS,500
527,2021-10-08,Bwais,Beans,500
528,2022-03-03,Bwais,MAIZE,500
529,2021-03-15,Kansanga,BEANS,500
529,2022-01-18,Nakasero,Maize,500
530,2020-14-15,Bwais,MAIZE,500
532,2021-05-30,,Beans,500
533,2022-01-15,,Beans,500
534,2021-01-02,Bwais,MAIZE,500
534,2020-05-14,Bwais,Maize,500
536,2022-03-22,mukono,BEANS,500
537,2021-08-31,mukono,Maize,500
538,2021-03-30,Kansanga,Maize,500
539,2021-12-03,mukono,Beans,500
540,2021-09-12,Bwais,BEANS,500
541,2020-10-16,mukono,Maize,500
542,2022-09-23,Bwais,Beans,500
543,2022-07-21,Bwais,BEANS,500
543,2020-04-23,,BEANS,500
545,2022-01-10,mukono,Beans,500
546,2021-04-20,mukono,Maize,500
547,2021-11-24,Nakasero,BEANS,500
548,2020-01-10,Bwais,MAIZE,500
549,2022-01-20,mukono,Beans,500
550,2021-04-12,Nakasero,BEANS,500
551,2022-03-27,Bwais,Maize,500
552,2020-04-16,Kansanga,BEANS,500
553,2021-01-02,,Maize,500
554,2022-06-27,Kansanga,BEANS,-2000
555,2021-12-22,,MAIZE,500
556,2021-09-25,mukono,BEANS,500
557,2021-10-18,Kansanga,MAIZE,500
557,2021-06-01,Kansanga,BEANS,500
559,2020-12-04,Nakasero,Maize,500
560,2021-04-15,Kansanga,BEANS,500
561,2021-05-24,mukono,Maize,500
562,2020-14-15,mukono,Beans,500
563,2020-12-15,Nakasero,Maize,500
564,2021-09-06,Kansanga,Beans,500
565,2020-01-03,Nakasero,Beans,500
566,2020-04-18,mukono,MAIZE,500
567,2020-07-11,mukono,BEANS,500
568,2021-02-28,mukono,Maize,500
569,2021-05-31,Bwais,BEANS,-2000
570,2021-03-19,,BEANS,500
571,2022-04-14,Bwais,Maize,500
572,2021-09-15,Bwais,Beans,500
573,2020-05-16,Bwais,BEANS,500
574,2020-11-17,,MAIZE,500
575,2020-05-15,Bwais,Beans,500
576,2022-08-23,Kansanga,Beans,500
577,2020-01-26,Kansanga,MAIZE,500
578,2020-06-13,Nakasero,Beans,500
579,2022-02-10,,Maize,500
580,2022-01-27,,MAIZE,500
581,2022-03-28,Nakasero,Maize,500
582,2021-12-02,Nakasero,Maize,-2000
583,2022-03-10,Kansanga,MAIZE,500
584,2021-09-09,Bwais,MAIZE,500
585,2022-09-12,Bwais,Maize,500
586,2020-06-13,,Beans,-2000
587,2020-02-10,Bwais,Beans,500
588,2021-01-01,mukono,Beans,500
589,2020-06-12,Kansanga,BEANS,500
590,2020-12-05,Nakasero,Beans,500
591,2021-10-26,mukono,Maize,500
592,2022-07-29,,MAIZE,500
593,2020-04-26,Kansanga,Beans,500
594,2022-02-27,Nakasero,BEANS,500
595,2021-06-10,mukono,Maize,500
596,2021-10-06,Bwais,BEANS,500
597,2022-09-26,Kansanga,Maize,500
598,2020-02-08,mukono,Maize,500
599,2020-08-21,Nakasero,BEANS,500
600,2020-14-15,mukono,Maize,500
601,2021-12-18,mukono,Beans,500
602,2021-09-13,mukono,Beans,500
603,2020-02-01,Kansanga,MAIZE,500
604,2022-05-19,,Beans,500
605,2022-09-15,Nakasero,Maize,500
606,2020-14-15,,BEANS,500
607,2022-07-14,Nakasero,MAIZE,500
608,2022-05-04,Nakasero,MAIZE,500
609,2021-07-16,Kansanga,Maize,500
610,2021-08-17,Kansanga,Beans,500
611,2022-07-10,Bwais,Beans,500
612,2021-08-21,Bwais,Beans,500
613,2022-03-15,Bwais,BEANS,500
614,2022-06-17,Kansanga,BEANS,500
615,2021-10-23,,Maize,500
616,2022-01-21,mukono,Maize,500
617,2022-02-26,,MAIZE,500
618,2021-04-28,Bwais,Beans,500
619,2020-04-02,Kansanga,Beans,500
620,2021-09-20,Bwais,MAIZE,500
621,2022-06-12,Bwais,BEANS,500
622,2020-03-05,Nakasero,Beans,500
623,2021-02-01,Kansanga,BEANS,500
624,2021-12-21,,Beans,500
625,2021-01-20,Kansanga,Beans,500
626,2022-07-18,Bwais,BEANS,500
627,2021-09-10,mukono,MAIZE,500
628,2020-08-04,Bwais,MAIZE,500
629,2020-12-04,mukono,BEANS,500
630,2022-05-03,Kansanga,Maize,500
631,2021-10-06,,Maize,500
632,2020-07-03,,BEANS,500
633,2022-04-21,Nakasero,Maize,500
634,2022-04-30,Kansanga,MAIZE,500
635,2020-06-20,Nakasero,BEANS,500
636,2020-04-21,mukono,MAIZE,500
637,2020-06-30,Kansanga,Maize,500
638,2022-07-12,,Maize,500
639,2020-02-14,,BEANS,500
640,2021-08-26,,Maize,500
641,2022-05-29,mukono,Beans,500
642,2020-14-15,mukono,Maize,500
643,2020-11-19,Kansanga,Beans,500
644,2022-05-25,,BEANS,500
645,2020-07-27,Kansanga,BEANS,500
646,2020-12-18,Kansanga,MAIZE,500
647,2021-12-17,Bwais,Maize,500
648,2021-09-20,mukono,MAIZE,500
649,2021-04-27,,BEANS,500
650,2020-02-08,Kansanga,BEANS,500
651,2022-08-26,Bwais,BEANS,500
652,2021-06-14,Nakasero,MAIZE,-2000
653,2020-08-25,,MAIZE,500
654,2020-14-15,Bwais,Maize,500
655,2021-08-23,Bwais,Maize,500
656,2022-01-13,,Beans,500
657,2021-04-10,Kansanga,Maize,500
658,2021-05-30,Nakasero,Beans,500
659,2021-08-11,Nakasero,BEANS,500
660,2022-09-11,Kansanga,BEANS,500
661,2021-01-26,Bwais,MAIZE,500
662,2020-01-10,Nakasero,MAIZE,500
663,2020-03-18,,MAIZE,500
664,2020-07-06,Bwais,BEANS,500
665,2020-07-30,Bwais,MAIZE,500
666,2022-07-31,mukono,BEANS,500
667,2020-11-18,Kansanga,Beans,500
668,2020-05-11,mukono,BEANS,500
669,2021-12-03,Bwais,BEANS,500
670,2020-14-15,Bwais,BEANS,500
671,2020-07-10,,Beans,500
672,2020-07-07,Kansanga,BEANS,500
673,2021-04-06,Bwais,MAIZE,500
674,2022-04-03,Bwais,BEANS,500
675,2020-06-02,Kansanga,Maize,500
676,2021-10-07,,Beans,500
677,2020-02-18,Kansanga,Maize,500
678,2022-05-09,mukono,BEANS,500
679,2022-08-12,Nakasero,Beans,-2000
680,2022-09-13,,MAIZE,500
681,2020-11-28,,BEANS,500
682,2020-10-20,Kansanga,MAIZE,500
683,2021-02-18,mukono,Maize,500
684,2021-12-28,Nakasero,BEANS,500
685,2022-02-04,,BEANS,500
686,2020-08-28,Nakasero,Maize,500
687,2022-06-18,Kansanga,Maize,-2000
